project_name,skill
Cloud Data Pipeline Modernization,Python
Cloud Data Pipeline Modernization,Databricks
Cloud Data Pipeline Modernization,Spark / PySpark
Cloud Data Pipeline Modernization,AWS S3
Cloud Data Pipeline Modernization,AWS Redshift
Predictive Analytics for Medical Readiness (Prototype),Python
Predictive Analytics for Medical Readiness (Prototype),AWS Lambda
Predictive Analytics for Medical Readiness (Prototype),AWS Redshift
Predictive Analytics for Medical Readiness (Prototype),Databricks
Continuity Risk & Recovery Analytics,SQL
Continuity Risk & Recovery Analytics,Power BI
